word,predicted_label,confidence,reason,category,category_explanation,in_domain_frequency,in_domain_lexicon_hit,fleurs_lexicon_hit,reference_lexicon_hit,nearest_reference_word,nearest_similarity_score,suspicious_pattern_flags,manual_label
-आ,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-आईडी,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आएगा,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आगे,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आधे,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आप,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-आपकी,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आपके,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आपको,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-आपस,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
---------------हेलो,incorrect,low,Suspicious orthographic pattern: triple_char_repeat.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,triple_char_repeat,incorrect
-अच्छों,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-इसमें,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-कहीं,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-जिंदगी,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-डिपेंड,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-तिनसों,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-देखेंगे,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-नहीं,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-पांच,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-बच्चों,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-में,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-मेंटली,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-मैं,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-मैंने,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-रस्मों,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-लोगों,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-वांस,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-विलिंग,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-सौंधापन,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-स्टार्टिंग,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-हां,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-हिंदी,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
-हूं,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
_डिफरेंट,incorrect,low,Suspicious orthographic pattern: repeated_matra_sequence.,suspicious_form,Word has suspicious orthographic pattern (matra/halant/repetition) without strong supporting evidence.,0,0,0,0,,,repeated_matra_sequence,incorrect
