word,spelling_label
-हाँ,correct
-हाँ-हाँ,correct
-हां,incorrect
-हिंदी,incorrect
-हुँ,correct
-हूँ,correct
-हूं,incorrect
-हो,correct
-फ़िक्र,correct
0,incorrect
000-10,incorrect
000-60,incorrect
0बहुत,incorrect
0वगैरह,incorrect
1,incorrect
"1,2",incorrect
1-1.5,incorrect
1-8,incorrect
1.5,incorrect
10,incorrect
"10,00,000",incorrect
"10,000",incorrect
"10,001,000",incorrect
"10,15",incorrect
10-11,incorrect
10-12,incorrect
10-15,incorrect
10-15-15,incorrect
10-15000,incorrect
10-20,incorrect
100,incorrect
"100,000",incorrect
"100,150,200",incorrect
100-200,incorrect
1000,incorrect
1000-2000,incorrect
10000,incorrect
100000,incorrect
1000000,incorrect
10000000,incorrect
10001500,incorrect
100200,incorrect
100की,incorrect
100पचास,incorrect
100परसेंट,incorrect
100परिवार,incorrect
100रुपए,incorrect
101,incorrect
1012,incorrect
1020,incorrect
105,incorrect
1050,incorrect
108,incorrect
10:00,incorrect
11,incorrect
"11,000",incorrect
11-12,incorrect
110,incorrect
"110,115",incorrect
1100,incorrect
111,incorrect
1112,incorrect
1140,incorrect
115,incorrect
1159,incorrect
1160,incorrect
118,incorrect
11:30,incorrect
11थे,incorrect
12,incorrect
"12,000",incorrect
12-,incorrect
12-13,incorrect
12-15,incorrect
120,incorrect
1200,incorrect
12000,incorrect
1208,incorrect
125,incorrect
1250,incorrect
125000,incorrect
126,incorrect
128,incorrect
12:00,incorrect
12का,incorrect
12थे,incorrect
12में,incorrect
12वी,incorrect
12वीं,incorrect
13,incorrect
13-14,incorrect
130,incorrect
1300,incorrect
13000,incorrect
133,incorrect
139,incorrect
14,incorrect
140,incorrect
1400,incorrect
141,incorrect
144,incorrect
1440,incorrect
145,incorrect
1470,incorrect
149,incorrect
15,incorrect
"15,000",incorrect
15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15-15,incorrect
15-16,incorrect
15-20,incorrect
15.25,incorrect
150,incorrect
150-,incorrect
150-200,incorrect
1500,incorrect
15000,incorrect
150000,incorrect
1500000,incorrect
150किलो,incorrect
1515,incorrect
1516,incorrect
1520,incorrect
156,incorrect
1583,incorrect
1592,incorrect
15मिनट,incorrect
15रुपय,incorrect
15हां,incorrect
16,incorrect
160,incorrect
1600,incorrect
165,incorrect
1699,incorrect
17,incorrect
1700,incorrect
17000,incorrect
1724,incorrect
1789,incorrect
18,incorrect
"18,000",incorrect
18-18,incorrect
18-21,incorrect
18.4,incorrect
180,incorrect
1800,incorrect
1800-1900,incorrect
18000,incorrect
1820,incorrect
185,incorrect
1855,incorrect
1857,incorrect
1859,incorrect
19,incorrect
190,incorrect
1900,incorrect
1911,incorrect
1917,incorrect
192,incorrect
1920,incorrect
1925,incorrect
1930,incorrect
1942,incorrect
1945,incorrect
1947,incorrect
1951,incorrect
1953,incorrect
1955,incorrect
1956,incorrect
1965,incorrect
197,incorrect
1971,incorrect
1972,incorrect
1973,incorrect
1978,incorrect
198,incorrect
1980,incorrect
19801990,incorrect
1984,incorrect
1990,incorrect
1992,incorrect
1993,incorrect
1995,incorrect
1998,incorrect
1999,incorrect
1:00,incorrect
1:30,incorrect
1उसके,incorrect
1हूं,incorrect
2,incorrect
"2,022",incorrect
"2,1,2",incorrect
"2,2,3,3",incorrect
"2,3",incorrect
2-,incorrect
2-3,incorrect
2.5,incorrect
20,incorrect
"20,000",incorrect
20-20,incorrect
20-20-20-20,incorrect
20-25,incorrect
20-30,incorrect
200,incorrect
200-300,incorrect
2000,incorrect
2000-2001,incorrect
2000-2010,incorrect
20000,incorrect
2000000,incorrect
20000या,incorrect
2001,incorrect
2002,incorrect
200250,incorrect
2003,incorrect
200300,incorrect
2004,incorrect
200400,incorrect
2005,incorrect
2006,incorrect
2006-07,incorrect
2007,incorrect
2007-8,incorrect
2008,incorrect
2008-09,incorrect
2009,incorrect
200रुपये,incorrect
2010,incorrect
201011,incorrect
2011,incorrect
2011-12,incorrect
2011क,incorrect
2012,incorrect
2013,incorrect
2013-14,incorrect
2013में,incorrect
2014,incorrect
2014-15,incorrect
201415,incorrect
2015,incorrect
2015-,incorrect
2015-सोलह,incorrect
2016,incorrect
2017,incorrect
2017-18,incorrect
201718,incorrect
2018,incorrect
201819,incorrect
2019,incorrect
2020,incorrect
2021,incorrect
2022,incorrect
2023,incorrect
2024,incorrect
2025,incorrect
2026,incorrect
2028,incorrect
2030,incorrect
2045,incorrect
2050,incorrect
2050और,incorrect
20घंटे,incorrect
21,incorrect
2100,incorrect
2100रुपए,incorrect
213,incorrect
2163,incorrect
22,incorrect
220,incorrect
2200,incorrect
22000,incorrect
23,incorrect
2300,incorrect
24,incorrect
240,incorrect
24000,incorrect
2425,incorrect
25,incorrect
"25,000",incorrect
25-30,incorrect
250,incorrect
2500,incorrect
25000,incorrect
2500000,incorrect
250300,incorrect
256,incorrect
26,incorrect
26000,incorrect
270,incorrect
2700,incorrect
27000,incorrect
275,incorrect
28,incorrect
28-29,incorrect
28000,incorrect
29,incorrect
2ओ,incorrect
3,incorrect
"3,000",incorrect
"3,3",incorrect
3-4,incorrect
30,incorrect
"30,000",incorrect
30-32,incorrect
30-40,incorrect
300,incorrect
300-400,incorrect
3000,incorrect
30000,incorrect
300400,incorrect
303,incorrect
3035,incorrect
3040,incorrect
31,incorrect
310,incorrect
3100,incorrect
31000,incorrect
320,incorrect
3200,incorrect
32000,incorrect
33,incorrect
"33,000",incorrect
33000,incorrect
3310,incorrect
34,incorrect
35,incorrect
350,incorrect
350-360,incorrect
3500,incorrect
35000,incorrect
36,incorrect
360,incorrect
3600,incorrect
365,incorrect
37000,incorrect
380,incorrect
3800,incorrect
"3800,वो",incorrect
399,incorrect
3:30,incorrect
3डी,incorrect
3तो,incorrect
4,incorrect
4-10,incorrect
4-5,incorrect
40,incorrect
"40,000",incorrect
40-50,incorrect
400,incorrect
"400,500",incorrect
400-500,incorrect
4000,incorrect
40000,incorrect
400000,incorrect
400500,incorrect
402,incorrect
4045,incorrect
42,incorrect
42000,incorrect
429,incorrect
435,incorrect
44,incorrect
45,incorrect
"45,000",incorrect
450,incorrect
4500,incorrect
45000,incorrect
450ये,incorrect
46,incorrect
"47,000",incorrect
470,incorrect
48,incorrect
480,incorrect
48000,incorrect
499,incorrect
499में,incorrect
4घंटे,incorrect
4बीच,incorrect
5,incorrect
"5,000",incorrect
"5,10",incorrect
5-10,incorrect
5-6,incorrect
5.4,incorrect
50,incorrect
"50,000",incorrect
500,incorrect
500-1000,incorrect
5000,incorrect
50000,incorrect
500000,incorrect
500500,incorrect
510,incorrect
5100,incorrect
512,incorrect
53,incorrect
55,incorrect
"55,000",incorrect
550,incorrect
550-600,incorrect
56,incorrect
57,incorrect
57000,incorrect
599108,incorrect
5:00,incorrect
5जी,incorrect
5–5,incorrect
6,incorrect
6'1,incorrect
6-6,incorrect
6-7,incorrect
60,incorrect
"60,000",incorrect
600,incorrect
6000,incorrect
60000,incorrect
63000,incorrect
64,incorrect
648,incorrect
65,incorrect
"65,000",incorrect
650,incorrect
6500,incorrect
65000,incorrect
67,incorrect
68,incorrect
68000,incorrect
690,incorrect
6:00,incorrect
6:30,incorrect
7,incorrect
7-8,incorrect
7.15,incorrect
70,incorrect
"70,000",incorrect
700,incorrect
7000,incorrect
700800,incorrect
702,incorrect
713,incorrect
720,incorrect
75,incorrect
750,incorrect
7500,incorrect
750800,incorrect
7800,incorrect
7:00,incorrect
8,incorrect
"8,000",incorrect
"8,मिसकॉल्स",incorrect
8-10,incorrect
8.3,incorrect
80,incorrect
"80,000",incorrect
800,incorrect
8000,incorrect
80000,incorrect
8000000,incorrect
800रूपये,incorrect
80का,incorrect
80मार्कस,incorrect
82000,incorrect
84.75,incorrect
85,incorrect
88,incorrect
8864,incorrect
8:00,incorrect
8:30,incorrect
9,incorrect
"9,000",incorrect
9-10,incorrect
90,incorrect
900,incorrect
9000,incorrect
90181,incorrect
93,incorrect
94,incorrect
9495,incorrect
95,incorrect
95संभावना,incorrect
98,incorrect
99,incorrect
999,incorrect
99लड़कियों,incorrect
9:00,incorrect
9:30,incorrect
9कितने,incorrect
_,incorrect
__,incorrect
___,incorrect
_आइ,correct
_आई,correct
_आई_,correct
_आई_टी,correct
_आई_बाई,correct
_आई_वाई,correct
_आईं,correct
_आटा,correct
_आर,correct
_आर_एस,correct
_इ,correct
_ई,correct
_ई_ई_से,correct
_ए,correct
_ए_बी_एड,correct
_एक्स,correct
_एच,correct
_एड,correct
_एन_डी,correct
_एम,correct
_एम_,correct
_एमीज़,correct
_एल,correct
_एस,correct
_एस_,correct
_एस_एल,correct
_एस_जी,correct
_ओ,correct
_और,correct
_के,correct
_जी,correct
_जी_ओ,correct
_जे,correct
_टी,correct
_टी_एम,correct
_टूब,correct
_डब्लू,correct
_डिफरेंट,incorrect
_डी,correct
_डी_सी,correct
_ती,correct
_न,correct
_पी,correct
_पी_,correct
_पी_आइ,correct
_पी_आई,correct
_पी_एल,correct
_पी_एस,correct
_पी_टी,correct
_फाइव,correct
_फील्ड,correct
_ब,correct
_बढ़िया,correct
_बाय,correct
_बी,correct
_यस_सी,correct
_यू,correct
_वाइ,correct
_वाई,correct
_वाय,correct
_वी,correct
_सि_टी,correct
_सी,correct
_सी_,correct
_सी_आर_एम,correct
_सी_डी,correct
ã,incorrect
å,incorrect
ðसा,correct
ú,incorrect
ı,incorrect
ˈड्रॉइंग,correct
ˈथ़ाउज़न्‍ड्‌,correct
ˈफ़ेव़रिट्‌,correct
ˌअन्‌डˈस्‍टैन्‌डिङ्‌,correct
ˌकॉन्‌स्‌न्ˈट्रेश्‌न्‌,correct
друг,incorrect
заяв,incorrect
опер,incorrect
понимट,correct
рай,incorrect
ँँजैसे,correct
ं,incorrect
ंक्रेज,incorrect
ंहुं,incorrect
अ,correct
अ!ह,correct
"अ,अगर",correct
"अ,अच्छा",correct
"अ,अर्ग",correct
"अ,आह",correct
"अ,किया",correct
"अ,घाटी",correct
"अ,चार्ज",correct
"अ,जी",correct
"अ,जैसे",correct
"अ,जो",correct
"अ,नहीं",incorrect
"अ,पटना",correct
"अ,पने",correct
"अ,पानीपुरी",correct
"अ,बिजनेस",correct
"अ,मतलब",correct
"अ,मैंने",incorrect
"अ,स्कूल",correct
"अ,हम्म",correct
"अ,होता",correct
अ-,correct
अ-अ,correct
अ-अ-आह,correct
अ-अंकित,correct
अ-अगर,correct
अ-अग्रजो,correct
अ-अच्छा,correct
अ-अपन,correct
अ-अब,correct
अ-अभी,correct
अ-अयोध्या,correct
अ-अवधी,correct
अ-अह,correct
अ-आ,correct
अ-आइटम,correct
अ-आई,correct
अ-आकर्षक,correct
अ-आटो,correct
अ-आधुनिक,correct
अ-आनंद,correct
अ-आनंदित,correct
अ-आने,correct
अ-आप,correct
अ-आपका,correct
अ-आपको,correct
अ-एक,correct
अ-और,correct
अ-कार,correct
अ-कि,correct
अ-किसी,correct
अ-कैसेट्स,correct
अ-गली,correct
अ-गाड़ी,correct
अ-चीज,correct
अ-जहां,incorrect
अ-जासे,correct
अ-जी,correct
अ-जैसे,correct
अ-जो,correct
अ-झलक,correct
अ-नोको-नोकोविज,correct
अ-मतलब,correct
अ-यदि,correct
अ-या-वो,correct
अ-यात्रा,correct
अ-लैंग्वेज,incorrect
अ-वहां,incorrect
अ-विदेशी,correct
अ-संबंधों,incorrect
अ-सारे,correct
अ-हम,correct
अ-हमारी,correct
अ-हमारे,correct
अ.......क्या,incorrect
अ......मान,incorrect
अ.....इंडिया,incorrect
अ.....धावक,incorrect
अ.....मान,incorrect
अ....एक,incorrect
अ....जैसे,incorrect
अ....वेसे,incorrect
अ...अ,incorrect
अ...अपने,incorrect
अ...कोमेडी,incorrect
अ...चाचा,incorrect
अ...बड़े,incorrect
अ...भीष्मपितामह,incorrect
अ...हहहहह....नहीं,incorrect
अ...हा,incorrect
अ..अच्छा,correct
अ..कह,correct
अ..कि,correct
अ..किस,correct
अ..नहीं,incorrect
अ..पब,correct
अ..परेशानी,correct
अ..पहला,correct
अ..पूरा,correct
अ..मतलब,correct
अ..महत्वपूर्ण,correct
अ..साक्ष्य,correct
अ..सिक्सटी,correct
अ.अ,correct
अ.अ.मनोरंजन,correct
अ.अच्छा,correct
अ.अजीब,correct
अ.अटेंड,incorrect
अ.अपनाअपना,correct
अ.अब,correct
अ.अभी,correct
अ.अर्न,correct
अ.आने,correct
अ.आप,correct
अ.आपको,correct
अ.इस,correct
अ.इसमें,incorrect
अ.उनका,correct
अ.उनके,correct
अ.उम,correct
अ.उसमे,correct
अ.ए.मतलब,correct
अ.एक,correct
अ.एक्चुअली,correct
अ.एलार्म,correct
अ.ऐसा,correct
अ.ऑक्सीजन,correct
अ.और,correct
अ.किसी,correct
अ.क्या,correct
अ.गवर्नमेंट,incorrect
अ.घर,correct
अ.चाहे,correct
अ.चीज,correct
अ.चीजों,incorrect
अ.चोर,correct
अ.चौथा,correct
अ.च्छा,correct
अ.च्छाअच्छा,correct
अ.जिससे,correct
अ.जी,correct
अ.जुड़ी,correct
अ.जैसे,correct
अ.जो,correct
अ.टाइम,correct
अ.ट्रक,correct
अ.ठीक,correct
अ.तक,correct
अ.तो,correct
अ.थोड़ा,correct
अ.धरती,correct
अ.धोखा,correct
अ.नौकरी,correct
अ.पता,correct
अ.प्यारा,correct
अ.प्रतियोगी,correct
अ.फोन,correct
अ.ब.क्या.कोई,correct
अ.बच्चों,incorrect
अ.बहोत,correct
अ.बाई,correct
अ.बात,correct
अ.बाहर,correct
अ.म,correct
अ.मतलब,correct
अ.माइक,correct
अ.मूर्ख,correct
अ.मेरा,correct
अ.मेरी,correct
अ.मैं,incorrect
अ.मैंने,incorrect
अ.य.अ,correct
अ.या,correct
अ.ये,correct
अ.रात,correct
अ.रीबन,correct
अ.लद्दाख,correct
अ.लिखने,correct
अ.लोगो,correct
अ.लौकी,correct
अ.विल्कुल,correct
अ.वीडियो,correct
अ.वो,correct
अ.शिक्षा,correct
अ.संगठनों,incorrect
अ.संस्कारों,incorrect
अ.सभी,correct
अ.समझना,correct
अ.सर,correct
अ.सहानुभूति,correct
अ.साथ,correct
अ.सारे,correct
अ.सॉरी,correct
अ.ह,correct
अ.हम,correct
अ.हां,incorrect
अ.हेलो,correct
अ_अचानक,correct
अ_अभी,correct
अˈकॉडिङ्‌लि,correct
अˈनाउन्‍स्‌मन्‍ट्‌,correct
अँ,correct
अँगना,correct
अँड,correct
अँधा,correct
अँधारे,correct
अँधे,correct
अँधेरा,correct
अँधेरे,correct
अँहा,correct
अं,correct
"अं,क्योंकि",incorrect
अं-,correct
अं.अ,correct
अं.आं,correct
अं.आईल,correct
अं.एक,correct
अं.किसी,correct
अं.जब,correct
अंँ,correct
अंंजीरो,incorrect
अंंदर,incorrect
अंअं,correct
अंअंअं,correct
अंअंअअ,correct
अंअअ,correct
अंआ,correct
अंऊ,correct
अंक,correct
अंक-,correct
अंकई,correct
अंकगणित,correct
अंकड़त,correct
अंकन,correct
अंकप्चुप,correct
अंकबाईरी,correct
अंकर,correct
अंकरिंग,incorrect
अंकल,correct
"अंकल,आंटी",correct
अंकलअंकल,correct
अंकलों,incorrect
अंकांसिस,incorrect
अंकि,incorrect
अंकिकट्टा,correct
अंकित,correct
अंकी,correct
अंकु,correct
अंकुट,correct
अंकुर,correct
अंकुरण,correct
अंकुरित,correct
अंकुरी,correct
अंकुल,correct
अंकुश,correct
अंकुस,correct
अंके,correct
अंको,incorrect
अंकों,correct
अंक्लामिडिटी,correct
अंक्लियर,correct
अंक्शन,correct
अंक्सटाओकेजिज,correct
अंख,correct
अंखियों,incorrect
अंखे,correct
अंखेली,correct
अंखों,incorrect
अंग,correct
अंग-लोगन,correct
अंगड़ाई,correct
अंगत,correct
अंगति,correct
अंगती,correct
अंगन,correct
अंगनवाडी,correct
अंगना,correct
अंगनाव,correct
अंगनी,correct
अंगल,correct
अंगला,incorrect
अंगलिय,correct
अंगले,incorrect
अंगवस्त्र,correct
अंगा,correct
अंगाइन,correct
अंगार,correct
अंगारा,correct
अंगारू,correct
अंगारे,correct
अंगारों,incorrect
अंगाल,correct
अंगिका,correct
अंगिट,correct
अंगित,correct
अंगिन,correct
अंगिनत,correct
अंगी,correct
अंगीका,correct
अंगीठी,correct
अंगीती,correct
अंगु,correct
अंगुठा,correct
अंगुठी,correct
अंगुठे,correct
अंगुथा,correct
अंगुलियाँ,correct
अंगुलियों,incorrect
अंगुली,correct
अंगुलीमाल,correct
अंगुलें,incorrect
अंगू,correct
अंगूठा,correct
अंगूठियां,incorrect
अंगूठियों,incorrect
अंगूठी,correct
अंगूठे,correct
अंगूठों,incorrect
अंगूर,correct
अंगूरी,correct
अंगूली,correct
अंगे,correct
अंगेज,correct
अंगेजमेंट,incorrect
अंगेठी,correct
अंगेला,correct
अंगेलिया,correct
अंगों,incorrect
अंगोछा,correct
अंगोट,correct
अंगोत्री,correct
अंगोली,correct
अंग्मं,correct
अंग्यूगी,correct
अंग्रजी,incorrect
अंग्रालिया,correct
अंग्रिय,correct
अंग्रीश,correct
अंग्रू,correct
अंग्रे,incorrect
अंग्रे-,correct
अंग्रेज,correct
अंग्रेजअंग्रेजी,correct
अंग्रेजन,incorrect
अंग्रेज़,incorrect
अंग्रेज़ी,correct
अंग्रेजियत,correct
अंग्रेजी,correct
अंग्रेजीयां,incorrect
अंग्रेजो,incorrect
अंग्रेजों,incorrect
अंग्रेज्निया,correct
अंग्रेपेश,correct
अंग्रेरी,incorrect
अंग्रेज़ी,incorrect
अंग्रेज़ों,incorrect
अंग्लनें,incorrect
अंग्लिश,correct
अंचल,correct
अंचले,correct
अंचान,correct
अंचाय,correct
अंचाहे,correct
अंचुइत,correct
अंचुई,correct
अंचुर,correct
अंच्छत,correct
अंच्छा,incorrect
अंछी,correct
अंछुआ,correct
अंज,correct
अंजदाज,correct
अंजन,correct
अंजना,correct
अंजनि,correct
अंजनी,correct
अंजय,correct
अंजर,correct
अंजल,correct
अंजलि,correct
अंजली,correct
अंजाइटी,correct
अंजान,incorrect
अंजाना,correct
अंजानी,correct
अंजाने,correct
अंजानों,incorrect
अंजाम,correct
अंजिन,correct
अंजी,correct
अंजी-,correct
अंजीत,correct
अंजीर,correct
अंजुल,correct
अंजुलिका,correct
अंजे,correct
अंजोय,correct
अंजोरा,correct
अंजौय,correct
अंट,correct
अंटर,correct
अंटा,correct
अंटायर,correct
अंटार्कटिका,correct
अंटार्टका,incorrect
अंटार्टिका,incorrect
अंटिया,correct
अंटियां,incorrect
अंटिल,correct
अंटी,correct
अंटीक,correct
अंटीना,correct
अंटील,correct
अंटे,correct
अंटेंच,incorrect
अंटेंट,incorrect
अंटॉप,correct
अंट्रस्टिंग,incorrect
अंट्री,correct
अंट्रेंड,incorrect
अंठानवे,correct
अंठावन,correct
अंड,correct
अंडंरगार्मेंट्स,incorrect
अंडबंड,correct
अंडमान,correct
अंडर,correct
अंडरगारमेंट्स,incorrect
अंडरगारमेन्टस,correct
अंडरगार्मेंट्स,incorrect
अंडरग्राउंड,correct
अंडरग्राउन,correct
अंडरग्रैजुएट,correct
अंडरटेकर,correct
अंडरबेयर,correct
अंडररेटेड,correct
अंडरलाइन,correct
अंडरलाईन,correct
अंडरवियर,correct
अंडरवीयर,incorrect
अंडरवेयर,incorrect
अंडरवेर,correct
अंडरवेल,correct
अंडरस,correct
अंडरसटूड,correct
अंडरसत,correct
अंडरस्कोर,correct
अंडरस्ट,correct
अंडरस्टँड,correct
अंडरस्टुड,correct
अंडरस्टूड,correct
अंडरस्टेंड,incorrect
अंडरस्टेंडिंग,incorrect
अंडरस्टेंडिंगस,incorrect
अंडरस्टेन्ड,correct
अंडरस्टेबल,correct
अंडरस्टैंगिंग,incorrect
अंडरस्टैंड,incorrect
अंडरस्टैंडिंग,incorrect
अंडरस्टैंडेबल,incorrect
अंडरस्टैडिंग,incorrect
अंडरस्टैण्ड,correct
अंडरस्ट्रेंडिंग,incorrect
अंडरेज,correct
अंडरेटेड,correct
अंडर्स्टेंडिंग,incorrect
अंडर्स्टैंडिंग,incorrect
अंडव,correct
अंडशन्ड,correct
अंडस्टैंडिंग,incorrect
अंड़र,correct
अंड़ा,correct
अंड़े,incorrect
अंडा,correct
अंडा-वंडा,correct
अंडार,correct
अंडिया,correct
अंडी,correct
अंडीक,correct
अंडूर,correct
अंडे,correct
अंडेट,incorrect
अंडेस्टेंडिंग,incorrect
अंडेस्टैंड,incorrect
अंडो,correct
अंडों,incorrect
अंड्रेड,correct
अंड्रॉइड,correct
अंत,correct
अंतः,incorrect
अंतक,correct
अंतक्षारी,correct
अंतजार,correct
अंतड़िया,correct
अंतड़ियों,incorrect
अंतत,incorrect
अंततः,correct
अंतत्य,correct
अंतना,correct
अंतर,correct
अंतर-,correct
अंतरंगी,correct
अंतरआत्मा,correct
अंतरक्षरी,correct
अंतरगत,incorrect
अंतरजाती,incorrect
अंतरण,incorrect
अंतरदेशियों,incorrect
अंतरभावना,correct
अंतरमन,correct
अंतरमात्मा,correct
अंतरमुखी,correct
अंतरराष्ट्रीय,correct
अंतरवित,correct
अंतरा,incorrect
अंतराकछड़ी,correct
अंतराक्षरी,correct
अंतराक्षी,correct
अंतरात्मा,correct
अंतराल,correct
अंतरालक,correct
अंतराश्ट्रिय,correct
अंतराष्टिस्तर,correct
अंतराष्ट्रीय,incorrect
अंतरास्ट्रीय,incorrect
अंतरास्तिय,correct
अंतरिक,correct
अंतरिक्ष,correct
अंतरिक्षयान,correct
अंतर्,incorrect
अंतर्गत,correct
अंतर्गुप्त,correct
अंतर्देशी,incorrect
अंतर्देशीय,correct
अंतर्ध्यान,correct
अंतर्मन,correct
अंतर्मुखी,correct
अंतर्यामी,correct
अंतर्राष्ट्रीय,correct
अंतर्संबंधों,incorrect
अंतलब,correct
अंता,correct
अंताक,correct
अंताकछड़ी,correct
अंताक्क्षरी,correct
अंताक्छरी,correct
अंताक्षड़ी,correct
अंताक्षडी,correct
अंताक्षरी,correct
अंताक्षरीस,correct
अंताक्षड़ी,correct
अंताचिड़ी,correct
अंताछड़ी,correct
अंताजा,correct
अंताब,correct
अंति,incorrect
अंतिक,correct
अंतिक्ष,incorrect
अंतित्ता,correct
अंतिम,correct
अंतिमयाम,correct
अंतियं,correct
अंतियाग,correct
अंती,correct
अंतीम,correct
अंतुष्टी,correct
अंतृ,correct
अंतेक्षित,correct
अंतोगत्वा,correct
अंतोतगत्वा,correct
अंत्याक्षरी,correct
अंत्येष्टि,correct
अंत्रम,correct
अंत्राक्षरी,correct
अंथरी,correct
अंद,correct
अंदर,correct
अंदर-,correct
अंदर-अंदर,correct
अंदरअंदर,correct
अंदरगत,correct
अंदरर,incorrect
अंदरहश्र,correct
